pressure, temperature, conductivity, salinity, fluorescence, PAR/Irradience, Turbidity, Scan Count, Density, CDOM, Flag
     11.863 ,   15.2605 ,42.949714 ,  34.7919 ,   0.0939,1.3820e+01,    0.3706  ,     122,  1025.8066,     0.0564, 0.000e+00
     11.872 ,   15.2607 ,42.953432 ,  34.7950 ,   0.0937,1.3585e+01,    0.3703  ,     123,  1025.8090,     0.0562, 0.000e+00
     11.894 ,   15.2527 ,42.955461 ,  34.8040 ,   0.0916,1.3446e+01,    0.3561  ,     124,  1025.8178,     0.0560, 0.000e+00
     11.894 ,   15.2472 ,42.947080 ,  34.8013 ,   0.0912,1.3561e+01,    0.3562  ,     125,  1025.8170,     0.0568, 0.000e+00
     11.876 ,   15.2532 ,42.921736 ,  34.7730 ,   0.0914,1.3837e+01,    0.3618  ,     126,  1025.7937,     0.0584, 0.000e+00
     11.863 ,   15.2548 ,42.930318 ,  34.7794 ,   0.0918,1.3940e+01,    0.3619  ,     127,  1025.7983,     0.0586, 0.000e+00
     11.860 ,   15.2548 ,42.943970 ,  34.7917 ,   0.0926,1.3798e+01,    0.3726  ,     128,  1025.8078,     0.0586, 0.000e+00
     11.872 ,   15.2494 ,42.941943 ,  34.7947 ,   0.0929,1.3522e+01,    0.3729  ,     129,  1025.8113,     0.0583, 0.000e+00
     11.888 ,   15.2377 ,42.943432 ,  34.8064 ,   0.0915,1.3436e+01,    0.3659  ,     130,  1025.8230,     0.0574, 0.000e+00
     11.894 ,   15.2312 ,42.932957 ,  34.8027 ,   0.0910,1.3525e+01,    0.3655  ,     131,  1025.8216,     0.0556, 0.000e+00
     11.882 ,   15.2380 ,42.917886 ,  34.7830 ,   0.0916,1.3742e+01,    0.3587  ,     132,  1025.8049,     0.0552, 0.000e+00
     11.863 ,   15.2403 ,42.912008 ,  34.7756 ,   0.0913,1.3871e+01,    0.3584  ,     133,  1025.7986,     0.0554, 0.000e+00
     11.847 ,   15.2395 ,42.912751 ,  34.7770 ,   0.0921,1.4072e+01,    0.3527  ,     134,  1025.7997,     0.0559, 0.000e+00
     11.819 ,   15.2381 ,42.912008 ,  34.7776 ,   0.0913,1.4255e+01,    0.3523  ,     135,  1025.8004,     0.0557, 0.000e+00
     11.788 ,   15.2331 ,42.904779 ,  34.7755 ,   0.0940,1.4615e+01,    0.3622  ,     136,  1025.7997,     0.0572, 0.000e+00
     11.738 ,   15.2251 ,42.899713 ,  34.7781 ,   0.0934,1.5096e+01,    0.3619  ,     137,  1025.8033,     0.0565, 0.000e+00
     11.663 ,   15.2188 ,42.896403 ,  34.7806 ,   0.0917,1.5745e+01,    0.3645  ,     138,  1025.8063,     0.0552, 0.000e+00
     11.580 ,   15.2130 ,42.894241 ,  34.7839 ,   0.0914,1.6549e+01,    0.3640  ,     139,  1025.8098,     0.0552, 0.000e+00
     11.486 ,   15.2080 ,42.893971 ,  34.7882 ,   0.0938,1.7568e+01,    0.3585  ,     140,  1025.8137,     0.0556, 0.000e+00
     11.374 ,   15.2086 ,42.896268 ,  34.7897 ,   0.0942,1.8342e+01,    0.3585  ,     141,  1025.8143,     0.0552, 0.000e+00
     11.273 ,   15.2123 ,42.903226 ,  34.7928 ,   0.0941,1.8928e+01,    0.3582  ,     142,  1025.8154,     0.0568, 0.000e+00
     11.161 ,   15.2140 ,42.905927 ,  34.7938 ,   0.0930,1.9560e+01,    0.3571  ,     143,  1025.8153,     0.0560, 0.000e+00
     11.048 ,   15.2162 ,42.902751 ,  34.7889 ,   0.0934,2.0288e+01,    0.3598  ,     144,  1025.8106,     0.0581, 0.000e+00
     10.922 ,   15.2173 ,42.896265 ,  34.7821 ,   0.0940,2.1418e+01,    0.3616  ,     145,  1025.8045,     0.0568, 0.000e+00
     10.791 ,   15.2144 ,42.894981 ,  34.7837 ,   0.0921,2.2739e+01,    0.3600  ,     146,  1025.8058,     0.0574, 0.000e+00
     10.652 ,   15.2126 ,42.895454 ,  34.7857 ,   0.0913,2.4136e+01,    0.3572  ,     147,  1025.8072,     0.0596, 0.000e+00
     10.508 ,   15.2125 ,42.895183 ,  34.7856 ,   0.0919,2.5633e+01,    0.3569  ,     148,  1025.8064,     0.0584, 0.000e+00
     10.364 ,   15.2141 ,42.898763 ,  34.7875 ,   0.0928,2.6988e+01,    0.3574  ,     149,  1025.8069,     0.0571, 0.000e+00
     10.215 ,   15.2162 ,42.911464 ,  34.7973 ,   0.0928,2.7961e+01,    0.3604  ,     150,  1025.8133,     0.0572, 0.000e+00
     10.078 ,   15.2166 ,42.909504 ,  34.7952 ,   0.0924,2.8873e+01,    0.3627  ,     151,  1025.8110,     0.0562, 0.000e+00
      9.943 ,   15.2155 ,42.907746 ,  34.7945 ,   0.0931,2.9757e+01,    0.3635  ,     152,  1025.8101,     0.0546, 0.000e+00
      9.805 ,   15.2154 ,42.910719 ,  34.7974 ,   0.0936,3.1064e+01,    0.3631  ,     153,  1025.8118,     0.0559, 0.000e+00
      9.660 ,   15.2158 ,42.902002 ,  34.7892 ,   0.0947,3.3099e+01,    0.3631  ,     154,  1025.8047,     0.0581, 0.000e+00
      9.515 ,   15.2211 ,42.896866 ,  34.7799 ,   0.0948,3.5100e+01,    0.3635  ,     155,  1025.7957,     0.0574, 0.000e+00
      9.358 ,   15.2236 ,42.897744 ,  34.7786 ,   0.0945,3.7306e+01,    0.3668  ,     156,  1025.7934,     0.0565, 0.000e+00
      9.201 ,   15.2285 ,42.898958 ,  34.7753 ,   0.0937,3.9692e+01,    0.3706  ,     157,  1025.7892,     0.0567, 0.000e+00
      9.050 ,   15.2312 ,42.902133 ,  34.7759 ,   0.0943,4.1699e+01,    0.3707  ,     158,  1025.7884,     0.0573, 0.000e+00
